NOMBRE_PARADERO;COORDENADAS;RUTA;NETWORK;TIPO_RUTA
Club Cartagena;10.4220, -75.5470;T103;Transcaribe;Trocal
Centro (Integracion);10.4239, -75.5485;T103;Transcaribe;Trocal
Maria Mulata;10.4170, -75.5512;T103;Transcaribe;Trocal
Olimpica;10.4158, -75.5518;T103;Transcaribe;Trocal
Ambientes;10.4146, -75.5523;T103;Transcaribe;Trocal
Crepes & Waffles;10.4134, -75.5529;T103;Transcaribe;Trocal
Miska;10.4122, -75.5535;T103;Transcaribe;Trocal
Dulceria;10.4110, -75.5541;T103;Transcaribe;Trocal
El Pueblito (Kr 2 - Cl 5);10.4098, -75.5547;T103;Transcaribe;Trocal
