RUTA;TIPO DE RUTA;RECORRIDO;ESTACION 18;ESTACION 17;ESTACION 16;ESTACION 15;ESTACION 14;ESTACION 13;ESTACION 12;ESTACION 11;ESTACION 10;ESTACION 9;ESTACION 8;ESTACION 7;ESTACION 6;ESTACION 5;ESTACION 4;ESTACION 3;ESTACION 2;ESTACION 1
T100E;TRONCALES;PATIO PORTAL - CENTRO - ;MUELLE DE LA BODEGUITA;CENTRO UNO;;;;;;;MARIA AUXILIADORA;;;CUATRO VIENTOS;;;;LA CASTELLANA;MADRE BERNARDA;PATIO PORTAL
T101;TRONCALES;PATIO PORTAL - CENTRO - ;MUELLE DE LA BODEGUITA;CENTRO UNO;CHAMBACU;;PIE DE LA POPA;;MERCADO BAZURTO;EL PRADO;;ESPAÑA;;CUATRO VIENTOS;VILLA OLIMPICA;LOS EJECUTIVOS;;LA CASTELLANA;MADRE BERNARDA;PATIO PORTAL
T102;TRONCALES;PATIO PORTAL - CRESPO - ;;CENTRO UNO;CHAMBACU;;;;MERCADO BAZURTO;EL PRADO;MARIA AUXILIADORA;;REPUBLICA DEL LIBANO;;VILLA OLIMPICA;;LOS ANGELES;;MADRE BERNARDA;PATIO PORTAL
T103;TRONCALES;PATIO PORTAL - BOCAGRANDE - ;MUELLE DE LA BODEGUITA;;CHAMBACU;;PIE DE LA POPA;;MERCADO BAZURTO;;;ESPAÑA;;CUATRO VIENTOS;;LOS EJECUTIVOS;LOS ANGELES;LA CASTELLANA;MADRE BERNARDA;PATIO PORTAL
X101;PRETRONCALES;SAN JOSE DE LOS CAMPANOS - 13 DE JUNIO - CENTRO;MUELLE DE LA BODEGUITA;CENTRO UNO;CHAMBACU;;;;MERCADO BAZURTO;;MARIA AUXILIADORA;ESPAÑA;REPUBLICA DEL LIBANO;CUATRO VIENTOS;VILLA OLIMPICA;LOS EJECUTIVOS;;;;
X102;PRETRONCALES;PATIO PORTAL - BOSQUE - CENTRO;MUELLE DE LA BODEGUITA;CENTRO UNO;;LO AMADOR;;LAS DELICIAS;MERCADO BAZURTO;;;;;;;;;;MADRE BERNARDA;PATIO PORTAL
X103;PRETRONCALES;PATIO PORTAL - CONSULADO - CENTRO;MUELLE DE LA BODEGUITA;CENTRO UNO;;;;LAS DELICIAS;MERCADO BAZURTO;EL PRADO;;;;;;;;;MADRE BERNARDA;PATIO PORTAL
X104;PRETRONCALES;TERMINAL DE TRANSPORTE - PEDRO ROMERO - CENTRO;MUELLE DE LA BODEGUITA;CENTRO UNO;CHAMBACU;;PIE DE LA POPA;;MERCADO BAZURTO;;;;;;;;;;;
X105;PRETRONCALES;CIUDADELA 2000 - CRISANTO LUQUE - BOCAGRANDE;MUELLE DE LA BODEGUITA;CENTRO UNO;;LO AMADOR;;LAS DELICIAS;MERCADO BAZURTO;;;;;;;;;;;
X106;PRETRONCALES;VARIANTE - CENTRO - ;MUELLE DE LA BODEGUITA;CENTRO UNO;;LO AMADOR;PIE DE LA POPA;LAS DELICIAS;;;MARIA AUXILIADORA;;REPUBLICA DEL LIBANO;;;LOS EJECUTIVOS;;LA CASTELLANA;;
A101;ALIMENTADORAS;CIUDAD JARDIN - PATIO PORTAL - ;;;;;;;;;;;;;;;;;;PATIO PORTAL
A102;ALIMENTADORAS;PATIO PORTAL - UNIVERSIDAD TECNOLOGICA DE BOLIVAR - ;;;;;;;;;;;;;;;;;;PATIO PORTAL
A103;ALIMENTADORAS;NELSON MANDELA - SAN FERNANDO - SANTA LUCIA;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A104;ALIMENTADORAS;NELSON MANDELA - SOCORRO - SANTA LUCIA;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A105;ALIMENTADORAS;SIMON BOLIVAR - SOCORRO - SANTA LUCIA;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A107;ALIMENTADORAS;BLAS DE LEZO - SANTA LUCIA - ;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A108;ALIMENTADORAS;CAMPESTRE - SANTA LUCIA - ;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A111;ALIMENTADORAS;NJUEVO BOSQUE - SANTA LUCIA - ;;;;;;;;;;;;;;;;;MADRE BERNARDA;
A114;ALIMENTADORAS;FLOR DEL CAMPO - PATIO PORTAL - ;;;;;;;;;;;;;;;;;;PATIO PORTAL
A117;ALIMENTADORAS;POZON - VILLA ESTRELLA - PORTAL;;;;;;;;;;;;;;;;;;PATIO PORTAL
C001;COMPLEMENTARIAS;CIUDADELA 2000 - MANGA - CENTRO;;;;;;;;;;;;;;;;;;
C016;COMPLEMENTARIAS;PATIO PORTAL - TERMINAL DE TRANSPORTE - ;;;;;;;;;;;;;;;;;;PATIO PORTAL
C017;COMPLEMENTARIAS;MUELLE DE LA BODEGUITA - ZONA NORTE - ;MUELLE DE LA BODEGUITA;CENTRO UNO;;;;;;;;;;;;;;;;
C018;COMPLEMENTARIAS;MUELLE DE LA BODEGUITA - TORICES - ;MUELLE DE LA BODEGUITA;;;;;;;;;;;;;;;;;
